Education Level,Years of Experience,Location,Industry,Job Title,Salary
Master's,39,Urban,Education,Data Scientist,154634.7913259911
PhD,6,Suburban,Education,Software Engineer,113519.1395817022
High School,31,Rural,Healthcare,Data Scientist,62536.819428267976
Master's,18,Suburban,Healthcare,Project Manager,95512.11935408463
Master's,5,Suburban,Education,Data Scientist,76668.39002847963
PhD,19,Urban,Healthcare,Data Scientist,118426.38525591423
High School,26,Suburban,Finance,Business Analyst,67356.31754769033
High School,36,Suburban,Tech,Business Analyst,102209.74157091005
Master's,6,Urban,Finance,Software Engineer,79656.71477619685
Bachelor's,4,Rural,Healthcare,Software Engineer,61338.623999156975
Master's,10,Rural,Finance,Project Manager,90677.17221071599
Master's,14,Rural,Tech,Business Analyst,97830.710323402
Master's,2,Suburban,Healthcare,Others,74913.90784065808
Master's,4,Urban,Finance,Software Engineer,78286.98020748704
PhD,22,Rural,Finance,Software Engineer,142765.51420623044
High School,36,Rural,Tech,Business Analyst,70696.02208683068
PhD,8,Rural,Healthcare,Business Analyst,91527.20338782192
PhD,14,Rural,Education,Project Manager,114026.79596445942
PhD,2,Urban,Healthcare,Business Analyst,95887.84398839092
Master's,28,Rural,Tech,Data Scientist,124651.49550150876
Bachelor's,5,Suburban,Tech,Others,66499.95498713356
High School,16,Suburban,Tech,Data Scientist,56843.928931237635
Bachelor's,25,Urban,Tech,Data Scientist,85207.17521550777
PhD,20,Rural,Education,Data Scientist,127108.09140108258
PhD,7,Rural,Healthcare,Software Engineer,100239.87162999078
Bachelor's,20,Suburban,Healthcare,Data Scientist,76424.22821110446
Bachelor's,10,Urban,Finance,Software Engineer,73343.60624577911
Bachelor's,37,Suburban,Education,Business Analyst,101169.33858282
PhD,7,Urban,Education,Others,100120.66491600793
PhD,23,Urban,Finance,Others,143672.19153994558
High School,34,Urban,Finance,Data Scientist,97192.26734770284
High School,13,Suburban,Healthcare,Others,63665.57194053802
PhD,13,Urban,Healthcare,Software Engineer,132641.65572808747
Bachelor's,9,Suburban,Healthcare,Business Analyst,65779.36598002283
Bachelor's,11,Suburban,Education,Data Scientist,66977.99670683907
High School,37,Rural,Education,Project Manager,96656.63099303358
PhD,33,Suburban,Finance,Others,123674.65702005719
High School,40,Suburban,Tech,Others,75079.27715647823
High School,9,Rural,Tech,Data Scientist,37771.80034249695
Master's,16,Rural,Tech,Others,97634.59457713127
Master's,16,Rural,Tech,Others,73417.9275446239
Master's,2,Urban,Tech,Project Manager,73025.6177884063
Bachelor's,30,Urban,Healthcare,Software Engineer,86596.44262484243
PhD,0,Rural,Finance,Data Scientist,85639.61157580168
PhD,11,Urban,Tech,Data Scientist,91248.852413385
PhD,38,Rural,Tech,Project Manager,131177.6890622555
PhD,3,Urban,Tech,Project Manager,87485.275933282
Master's,12,Suburban,Healthcare,Software Engineer,96018.50328762064
Bachelor's,33,Urban,Tech,Business Analyst,109154.24861441944
Bachelor's,20,Urban,Finance,Data Scientist,81175.64641168859
Master's,21,Suburban,Healthcare,Others,89252.11513982523
Bachelor's,3,Rural,Healthcare,Software Engineer,58925.32221261108
Master's,17,Urban,Education,Data Scientist,74466.70721961082
PhD,4,Urban,Education,Software Engineer,73282.50517628022
Master's,18,Suburban,Healthcare,Business Analyst,87117.28448784996
PhD,1,Suburban,Tech,Data Scientist,85633.4861990297
PhD,11,Suburban,Tech,Others,113276.71297647458
High School,16,Suburban,Tech,Data Scientist,50635.837777728346
Master's,9,Rural,Tech,Software Engineer,101402.35309999851
High School,33,Urban,Education,Business Analyst,74710.8493130454
Master's,5,Urban,Finance,Software Engineer,83627.72291522162
Master's,7,Urban,Healthcare,Software Engineer,79097.2287058437
High School,10,Urban,Tech,Project Manager,63687.197241311376
High School,11,Rural,Education,Software Engineer,46120.4955287592
Master's,8,Urban,Finance,Business Analyst,86640.06780145766
Bachelor's,1,Rural,Healthcare,Others,40476.810354758396
PhD,7,Rural,Healthcare,Project Manager,99840.87356867956
High School,10,Suburban,Healthcare,Software Engineer,39959.565880725335
PhD,35,Suburban,Tech,Data Scientist,162869.175399628
Bachelor's,9,Urban,Healthcare,Project Manager,40376.130589919616
Bachelor's,20,Rural,Tech,Business Analyst,74533.55553554221
Bachelor's,19,Suburban,Finance,Data Scientist,82226.198735727
High School,7,Rural,Education,Business Analyst,21347.264776056196
Bachelor's,35,Suburban,Education,Data Scientist,112139.64239253185
High School,28,Rural,Education,Others,54269.32868808706
Bachelor's,11,Urban,Healthcare,Business Analyst,38331.36521962608
PhD,13,Urban,Education,Data Scientist,102027.87171504677
PhD,20,Rural,Finance,Business Analyst,123358.54879196142
Master's,21,Suburban,Tech,Project Manager,104783.46417040667
PhD,20,Suburban,Education,Business Analyst,128108.58245898351
Master's,29,Urban,Tech,Business Analyst,105866.03176786301
PhD,38,Urban,Tech,Data Scientist,158524.5601344592
High School,19,Urban,Education,Business Analyst,65596.05991868497
PhD,23,Suburban,Education,Others,132327.30463061485
Master's,22,Suburban,Education,Software Engineer,87939.00758511288
Master's,6,Urban,Healthcare,Project Manager,68890.70349908125
Bachelor's,8,Rural,Education,Data Scientist,67031.14805044231
High School,0,Suburban,Healthcare,Business Analyst,27734.357243220667
PhD,25,Urban,Finance,Business Analyst,114318.20612627034
Bachelor's,37,Rural,Tech,Business Analyst,75051.70101355918
PhD,37,Suburban,Finance,Project Manager,142361.03672240366
PhD,21,Rural,Education,Software Engineer,131607.02254948855
Bachelor's,9,Rural,Tech,Others,64358.206914192284
Bachelor's,5,Suburban,Education,Others,53815.93809214084
Bachelor's,16,Urban,Education,Data Scientist,58901.099723701955
Bachelor's,37,Rural,Tech,Software Engineer,103231.18460103298
Bachelor's,23,Urban,Finance,Software Engineer,64170.813963545996
PhD,9,Suburban,Education,Project Manager,98432.1591943541
Bachelor's,7,Rural,Tech,Business Analyst,72706.50581399549
High School,20,Rural,Finance,Software Engineer,49431.6423686858
Master's,5,Rural,Healthcare,Business Analyst,82420.27826900367
Bachelor's,20,Rural,Finance,Project Manager,94621.95951449162
Bachelor's,38,Rural,Finance,Data Scientist,96238.59719382653
PhD,23,Suburban,Tech,Data Scientist,139177.12878426485
Bachelor's,32,Rural,Finance,Business Analyst,88564.27153828875
Bachelor's,17,Suburban,Healthcare,Business Analyst,69959.11945565988
Bachelor's,27,Urban,Healthcare,Software Engineer,58082.69133936679
PhD,31,Suburban,Education,Project Manager,142729.06680267313
Bachelor's,11,Rural,Healthcare,Data Scientist,62400.595512709064
Master's,26,Urban,Education,Software Engineer,95909.65591318093
PhD,9,Suburban,Healthcare,Others,107097.18971120987
Master's,31,Suburban,Finance,Software Engineer,102336.69480204655
PhD,25,Suburban,Education,Business Analyst,121969.42702632946
Bachelor's,24,Rural,Healthcare,Others,110674.80783476787
Master's,10,Rural,Finance,Software Engineer,87326.02779112424
PhD,22,Suburban,Finance,Project Manager,141004.7855837328
High School,33,Suburban,Education,Data Scientist,84043.97216360591
Bachelor's,39,Urban,Tech,Others,128393.35732261142
PhD,22,Rural,Finance,Project Manager,112414.95399401437
High School,28,Rural,Finance,Software Engineer,64746.585402503064
PhD,30,Urban,Tech,Business Analyst,136495.9739268626
High School,6,Suburban,Education,Business Analyst,30622.164649856742
